Year,gold_perc,silver_perc,bronze_perc,no_medal_perc
1980,5.91921226362314,5.94159113796576,6.0646749468501735,82.07452165156093
1984,4.927511218501898,4.7549188816016565,4.9706593027269586,85.34691059716948
1988,4.13600436086127,4.0951212864540745,4.340419732897248,87.42845461978742
1992,4.039480899287151,4.002924511058308,4.32583927374642,87.63175531590812
1994,3.481012658227848,3.449367088607595,3.5443037974683547,89.5253164556962
1996,4.412191582002903,4.3904208998548615,4.564586357039188,86.63280116110305
1998,4.0221914008321775,4.0221914008321775,4.160887656033287,87.79472954230236
2000,4.797047970479705,4.782577237537081,4.920049200492005,85.5003255914912
2002,3.9425651009978093,3.8208809929423215,3.869554636164517,88.36699926989536
2004,4.939373651714647,4.90961838875251,5.0360782563415905,85.11492970319125
2006,4.016430853491556,3.993610223642172,3.993610223642172,87.9963486992241
2008,4.933098073812674,4.903690633730333,5.2198206146154975,84.94339067784149
2010,3.9527487505679235,3.975465697410268,3.8845979100408905,88.18718764198091
2012,4.891640866873065,4.876160990712075,5.255417956656347,84.97678018575851
2014,4.130034757718258,4.02780617460642,4.048251891228787,87.79390717644654
2016,4.858270017533606,4.785213325540619,5.135885447106955,85.22063120981882
